,InvoiceDate,Quantity
9497,2011-01-01 00:00:00,0
9498,2011-01-01 01:00:00,0
9499,2011-01-01 02:00:00,0
9500,2011-01-01 03:00:00,0
9501,2011-01-01 04:00:00,0
9502,2011-01-01 05:00:00,0
9503,2011-01-01 06:00:00,0
9504,2011-01-01 07:00:00,0
9505,2011-01-01 08:00:00,0
9506,2011-01-01 09:00:00,0
9507,2011-01-01 10:00:00,0
9508,2011-01-01 11:00:00,0
9509,2011-01-01 12:00:00,0
9510,2011-01-01 13:00:00,0
9511,2011-01-01 14:00:00,0
9512,2011-01-01 15:00:00,0
9513,2011-01-01 16:00:00,0
9514,2011-01-01 17:00:00,0
9515,2011-01-01 18:00:00,0
9516,2011-01-01 19:00:00,0
9517,2011-01-01 20:00:00,0
9518,2011-01-01 21:00:00,0
9519,2011-01-01 22:00:00,0
9520,2011-01-01 23:00:00,0
9521,2011-01-02 00:00:00,0
9522,2011-01-02 01:00:00,0
9523,2011-01-02 02:00:00,0
9524,2011-01-02 03:00:00,0
9525,2011-01-02 04:00:00,0
9526,2011-01-02 05:00:00,0
9527,2011-01-02 06:00:00,0
9528,2011-01-02 07:00:00,0
9529,2011-01-02 08:00:00,0
9530,2011-01-02 09:00:00,0
9531,2011-01-02 10:00:00,0
9532,2011-01-02 11:00:00,0
9533,2011-01-02 12:00:00,0
9534,2011-01-02 13:00:00,0
9535,2011-01-02 14:00:00,0
9536,2011-01-02 15:00:00,0
9537,2011-01-02 16:00:00,0
9538,2011-01-02 17:00:00,0
9539,2011-01-02 18:00:00,0
9540,2011-01-02 19:00:00,0
9541,2011-01-02 20:00:00,0
9542,2011-01-02 21:00:00,0
9543,2011-01-02 22:00:00,0
9544,2011-01-02 23:00:00,0
9545,2011-01-03 00:00:00,0
9546,2011-01-03 01:00:00,0
9547,2011-01-03 02:00:00,0
9548,2011-01-03 03:00:00,0
9549,2011-01-03 04:00:00,0
9550,2011-01-03 05:00:00,0
9551,2011-01-03 06:00:00,0
9552,2011-01-03 07:00:00,0
9553,2011-01-03 08:00:00,0
9554,2011-01-03 09:00:00,0
9555,2011-01-03 10:00:00,0
9556,2011-01-03 11:00:00,0
9557,2011-01-03 12:00:00,0
9558,2011-01-03 13:00:00,0
9559,2011-01-03 14:00:00,0
9560,2011-01-03 15:00:00,0
9561,2011-01-03 16:00:00,0
9562,2011-01-03 17:00:00,0
9563,2011-01-03 18:00:00,0
9564,2011-01-03 19:00:00,0
9565,2011-01-03 20:00:00,0
9566,2011-01-03 21:00:00,0
9567,2011-01-03 22:00:00,0
9568,2011-01-03 23:00:00,0
9569,2011-01-04 00:00:00,0
9570,2011-01-04 01:00:00,0
9571,2011-01-04 02:00:00,0
9572,2011-01-04 03:00:00,0
9573,2011-01-04 04:00:00,0
9574,2011-01-04 05:00:00,0
9575,2011-01-04 06:00:00,0
9576,2011-01-04 07:00:00,0
9577,2011-01-04 08:00:00,0
9578,2011-01-04 09:00:00,0
9579,2011-01-04 10:00:00,950
9580,2011-01-04 11:00:00,653
9581,2011-01-04 12:00:00,1218
9582,2011-01-04 13:00:00,2685
9583,2011-01-04 14:00:00,1096
9584,2011-01-04 15:00:00,997
9585,2011-01-04 16:00:00,216
9586,2011-01-04 17:00:00,-168
9587,2011-01-04 18:00:00,0
9588,2011-01-04 19:00:00,0
9589,2011-01-04 20:00:00,0
9590,2011-01-04 21:00:00,0
9591,2011-01-04 22:00:00,0
9592,2011-01-04 23:00:00,0
9593,2011-01-05 00:00:00,0
9594,2011-01-05 01:00:00,0
9595,2011-01-05 02:00:00,0
9596,2011-01-05 03:00:00,0
9597,2011-01-05 04:00:00,0
9598,2011-01-05 05:00:00,0
9599,2011-01-05 06:00:00,0
9600,2011-01-05 07:00:00,0
9601,2011-01-05 08:00:00,0
9602,2011-01-05 09:00:00,284
9603,2011-01-05 10:00:00,3978
9604,2011-01-05 11:00:00,4276
9605,2011-01-05 12:00:00,3591
9606,2011-01-05 13:00:00,2472
9607,2011-01-05 14:00:00,156
9608,2011-01-05 15:00:00,350
9609,2011-01-05 16:00:00,1220
9610,2011-01-05 17:00:00,110
9611,2011-01-05 18:00:00,0
9612,2011-01-05 19:00:00,0
9613,2011-01-05 20:00:00,0
9614,2011-01-05 21:00:00,0
9615,2011-01-05 22:00:00,0
9616,2011-01-05 23:00:00,0
9617,2011-01-06 00:00:00,0
9618,2011-01-06 01:00:00,0
9619,2011-01-06 02:00:00,0
9620,2011-01-06 03:00:00,0
9621,2011-01-06 04:00:00,0
9622,2011-01-06 05:00:00,0
9623,2011-01-06 06:00:00,0
9624,2011-01-06 07:00:00,0
9625,2011-01-06 08:00:00,212
9626,2011-01-06 09:00:00,1200
9627,2011-01-06 10:00:00,1017
9628,2011-01-06 11:00:00,1723
9629,2011-01-06 12:00:00,3253
9630,2011-01-06 13:00:00,421
9631,2011-01-06 14:00:00,1983
9632,2011-01-06 15:00:00,3603
9633,2011-01-06 16:00:00,2657
9634,2011-01-06 17:00:00,622
9635,2011-01-06 18:00:00,533
9636,2011-01-06 19:00:00,0
9637,2011-01-06 20:00:00,0
9638,2011-01-06 21:00:00,0
9639,2011-01-06 22:00:00,0
9640,2011-01-06 23:00:00,0
9641,2011-01-07 00:00:00,0
9642,2011-01-07 01:00:00,0
9643,2011-01-07 02:00:00,0
9644,2011-01-07 03:00:00,0
9645,2011-01-07 04:00:00,0
9646,2011-01-07 05:00:00,0
9647,2011-01-07 06:00:00,0
9648,2011-01-07 07:00:00,0
9649,2011-01-07 08:00:00,0
9650,2011-01-07 09:00:00,2658
9651,2011-01-07 10:00:00,542
9652,2011-01-07 11:00:00,1661
9653,2011-01-07 12:00:00,765
9654,2011-01-07 13:00:00,902
9655,2011-01-07 14:00:00,2996
9656,2011-01-07 15:00:00,331
9657,2011-01-07 16:00:00,317
9658,2011-01-07 17:00:00,74
9659,2011-01-07 18:00:00,0
9660,2011-01-07 19:00:00,0
9661,2011-01-07 20:00:00,0
9662,2011-01-07 21:00:00,0
9663,2011-01-07 22:00:00,0
9664,2011-01-07 23:00:00,0
9665,2011-01-08 00:00:00,0
9666,2011-01-08 01:00:00,0
9667,2011-01-08 02:00:00,0
9668,2011-01-08 03:00:00,0
9669,2011-01-08 04:00:00,0
9670,2011-01-08 05:00:00,0
9671,2011-01-08 06:00:00,0
9672,2011-01-08 07:00:00,0
9673,2011-01-08 08:00:00,0
9674,2011-01-08 09:00:00,0
9675,2011-01-08 10:00:00,0
9676,2011-01-08 11:00:00,0
9677,2011-01-08 12:00:00,0
9678,2011-01-08 13:00:00,0
9679,2011-01-08 14:00:00,0
9680,2011-01-08 15:00:00,0
9681,2011-01-08 16:00:00,0
9682,2011-01-08 17:00:00,0
9683,2011-01-08 18:00:00,0
9684,2011-01-08 19:00:00,0
9685,2011-01-08 20:00:00,0
9686,2011-01-08 21:00:00,0
9687,2011-01-08 22:00:00,0
9688,2011-01-08 23:00:00,0
9689,2011-01-09 00:00:00,0
9690,2011-01-09 01:00:00,0
9691,2011-01-09 02:00:00,0
9692,2011-01-09 03:00:00,0
9693,2011-01-09 04:00:00,0
